Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,143.692369,-120.452331,270.0,bottom
C1,139.178946,-111.188908,0.0,bottom
C10,140.394145,-83.967072,0.0,bottom
C2,143.144145,-84.217072,180.0,bottom
C3,144.942369,-98.952331,180.0,bottom
C4,136.192369,-99.202331,90.0,bottom
C5,145.192369,-107.702331,270.0,bottom
C6,144.692369,-109.202331,180.0,bottom
C7,139.178946,-109.938908,180.0,bottom
C8,140.644145,-77.217072,90.0,bottom
C9,139.144145,-80.467072,90.0,bottom
D1,93.836927,-55.681824,90.0,bottom
D10,197.774719,-55.681824,90.0,bottom
D11,87.58613,-74.731903,90.0,bottom
D12,89.669729,-74.731903,90.0,bottom
D13,91.753328,-74.731903,90.0,bottom
D14,108.42212,-77.113159,90.0,bottom
D15,110.803215,-77.113092,90.0,bottom
D16,180.510311,-77.113092,90.0,bottom
D17,182.891869,-77.113159,90.0,bottom
D18,197.477062,-74.73184,90.0,bottom
D19,199.560661,-74.73184,90.0,bottom
D2,95.920526,-55.681824,90.0,bottom
D20,201.64426,-74.731903,90.0,bottom
D21,84.311903,-93.781951,90.0,bottom
D22,86.395502,-93.781951,90.0,bottom
D23,88.479101,-93.781951,90.0,bottom
D24,103.957265,-96.163108,90.0,bottom
D25,106.040711,-96.163108,90.0,bottom
D26,185.272815,-96.163108,90.0,bottom
D27,187.356724,-96.163108,90.0,bottom
D28,204.322831,-93.781856,90.0,bottom
D29,206.406772,-93.781856,90.0,bottom
D3,98.004125,-55.681824,90.0,bottom
D30,208.490371,-93.781856,90.0,bottom
D32,90.971985,-122.337027,90.0,bottom
D33,93.055584,-122.337027,90.0,bottom
D34,95.139183,-122.337027,90.0,bottom
D35,182.891869,-122.35688,90.0,bottom
D36,184.975468,-122.35688,90.0,bottom
D37,187.059067,-122.357023,90.0,bottom
D4,112.589318,-58.063076,90.0,bottom
D5,114.970406,-58.063076,90.0,bottom
D6,174.85513,-57.467797,90.0,bottom
D7,177.236386,-57.467797,90.0,bottom
D8,193.607521,-55.681855,90.0,bottom
D9,195.69112,-55.681855,90.0,bottom
F1,137.644145,-78.217072,180.0,bottom
J1,140.83125,-37.1425,0.0,bottom
R1,140.644145,-75.217072,0.0,bottom
R2,140.644145,-72.717072,180.0,bottom
R3,141.942369,-113.452331,0.0,bottom
R4,139.442369,-113.452331,0.0,bottom
RST1,137.692369,-120.452331,90.0,bottom
SW1,52.462541,-49.728694,0.0,bottom
SW10,228.730664,-49.728694,0.0,bottom
SW11,47.700037,-68.77873,0.0,bottom
SW12,66.750053,-68.77871,0.0,bottom
SW13,85.800069,-68.77873,0.0,bottom
SW14,104.850085,-73.541214,0.0,bottom
SW15,123.900101,-78.303718,0.0,bottom
SW16,157.293104,-78.303718,0.0,bottom
SW17,176.34312,-73.541214,0.0,bottom
SW18,195.393136,-68.77871,0.0,bottom
SW19,214.443152,-68.77871,0.0,bottom
SW2,71.512557,-49.728694,0.0,bottom
SW20,233.493168,-68.77871,0.0,bottom
SW21,42.937533,-87.82873,0.0,bottom
SW22,61.987549,-87.828726,0.0,bottom
SW23,81.037565,-87.82873,0.0,bottom
SW24,100.087581,-92.59123,0.0,bottom
SW25,119.137597,-97.353734,0.0,bottom
SW26,162.055608,-97.353734,0.0,bottom
SW27,181.105624,-92.59123,0.0,bottom
SW28,200.15564,-87.828726,0.0,bottom
SW29,219.205656,-87.828726,0.0,bottom
SW3,90.562573,-49.728694,0.0,bottom
SW30,238.255672,-87.828726,0.0,bottom
SW32,66.35768,-116.383887,0.0,bottom
SW33,85.407696,-116.383887,0.0,bottom
SW34,114.189056,-119.0628,0.0,bottom
SW35,166.985577,-119.082631,0.0,bottom
SW36,195.58048,-116.383887,0.0,bottom
SW37,214.630496,-116.383887,0.0,bottom
SW4,109.612589,-54.491198,0.0,bottom
SW5,128.662605,-59.253702,0.0,bottom
SW6,152.5306,-59.253702,0.0,bottom
SW7,171.580616,-54.491198,0.0,bottom
SW8,190.630632,-49.728694,0.0,bottom
SW9,209.680648,-49.728694,0.0,bottom
U1,140.692369,-103.452331,90.0,bottom
U2,137.644145,-73.967072,90.0,bottom
U3,141.894145,-81.467072,180.0,bottom
